"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Sai Wan Ho Sports Centre","2/F, Municipal Services Building, 111 Shau Kei Wan Road, Sai Wan Ho ","Eastern","Hong Kong Island","Near First Aid Room at the Lobby",22.282592,114.222789,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sai Wan Ho Sports Centre","2/F, Municipal Services Building, 111 Shau Kei Wan Road, Sai Wan Ho ","Eastern","Hong Kong Island","Inside First Aid Room ",22.282592,114.222789,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Shau Kei Wan Service Reservoir Playground","Yiu Hing Road, Shau Kei Wan","Eastern","Hong Kong Island","Outside Toilet Block",22.282462,114.217311,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Siu Sai Wan Promenade","No. 20-26 Siu Sai Wan Road , Siu Sai Wan","Eastern","Hong Kong Island","Outside Toilet Block",22.264964,114.252134,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Siu Sai Wan Sports Centre","2/F - 4/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Hong Kong","Eastern","Hong Kong Island","Outside First Aid Room on the 2/F",22.263861,114.249335,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Siu Sai Wan Sports Centre","2/F - 4/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Hong Kong","Eastern","Hong Kong Island","Near Check-in Counter on the 3/F",22.263861,114.249335,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Siu Sai Wan Sports Centre","2/F - 4/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Hong Kong","Eastern","Hong Kong Island","Outside Accessible Toilet on the 4/F",22.263861,114.249335,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Siu Sai Wan Sports Ground","8 Fu Hong Street, Siu Sai Wan, Hong Kong","Eastern","Hong Kong Island","Main Access near Section 8 and Section 38",22.26765,114.249051,"Fountain type",6,"06:30","22:00","Maintenance Day","Ambient temperature","Outdoor",
"Siu Sai Wan Swimming Pool","1/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Hong Kong","Eastern","Hong Kong Island","1/F Swimming Pool Lobby",22.263861,114.249335,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Aberdeen Promenade","Aberdeen Prayer Road","Southern","Hong Kong Island","Inside Babycare Room",22.247457,114.153365,"Non-fountain type",1,"07:00","23:00",,"Hot / Cold","Indoor",
"Aberdeen Sports Centre","No. 203 Aberdeen Main Road","Southern","Hong Kong Island","5/F Lobby",22.24938,114.154423,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Aberdeen Sports Centre","No. 203 Aberdeen Main Road","Southern","Hong Kong Island","5/F Corridor",22.24938,114.154423,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Aberdeen Sports Centre","No. 203 Aberdeen Main Road","Southern","Hong Kong Island","6/F Lobby",22.24938,114.154423,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Aberdeen Sports Ground","108 Wong Chuk Hang Road","Southern","Hong Kong Island","Next to the main entrance ",22.250233,114.171589,"Fountain type",3,"07:00","22:00","Maintenance Day","Ambient temperature","Outdoor","For use by venue hirers when the venue is reserved by block bookings "
"Aberdeen Sports Ground","108 Wong Chuk Hang Road","Southern","Hong Kong Island","Under covered spectator stand outside Ladies' Toilet",22.24953,114.17141,"Fountain type",3,"07:00","22:00","Maintenance Day","Cold","Outdoor","For use by venue hirers when the venue is reserved by block bookings "
"Ocean Park Road Community Garden","Near Ocean Park Road, Wong Chuk Hang","Southern","Hong Kong Island","Outside the classroom",22.24858,114.173388,"Fountain type",2,"08:00","18:00",,"Cold","Outdoor",
"Aberdeen Tennis & Squash Centre","No.1 Aberdeen Praya Road, Aberdeen, Hong Kong","Southern","Hong Kong Island","Next to Squash Court No.4 on the G/F",22.247478,114.160203,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Aberdeen Tennis & Squash Centre","No.1 Aberdeen Praya Road, Aberdeen, Hong Kong","Southern","Hong Kong Island","Next to Fitness Room on the 1/F",22.247478,114.160203,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Aberdeen Tennis & Squash Centre","No.1 Aberdeen Praya Road, Aberdeen, Hong Kong","Southern","Hong Kong Island","Next to Tennis Court No.1",22.247478,114.160203,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Outside the Men's Toilet and Changing Room",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Inside Children's Playground",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Near Pavilion",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Near Introduction Board of Large Fung Shui Egg",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Outside the Basketball Court No.1",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Outside the Basketball Court No.2",22.245213,114.157961,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ap Lei Chau Park","Ap Lei Chau Main Street","Southern","Hong Kong Island","Inside Babycare Room",22.245213,114.157961,"Non-fountain type",1,"07:00","23:00",,"Hot / Cold","Indoor",
"Ap Lei Chau Sports Centre","1-4/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau, Hong Kong","Southern","Hong Kong Island","Next to Ladies' Changing Room on the 1/F",22.244788,114.155325,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ap Lei Chau Sports Centre","1-4/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau, Hong Kong","Southern","Hong Kong Island","Bowling Green on the 2/F",22.244788,114.155325,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ap Lei Chau Sports Centre","1-4/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau, Hong Kong","Southern","Hong Kong Island","Next to Men's Changing Room on the 2/F",22.244788,114.155325,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ap Lei Chau Sports Centre","1-4/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau, Hong Kong","Southern","Hong Kong Island","Next to Men's Changing Room on the 3/F",22.244788,114.155325,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ap Lei Chau Sports Centre","1-4/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau, Hong Kong","Southern","Hong Kong Island","Next to Men's Changing Room on the 4/F",22.244788,114.155325,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau","Southern","Hong Kong Island","Office at the entrance",22.244895,114.153209,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau","Southern","Hong Kong Island","Near the Toilet ",22.244895,114.153209,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau","Southern","Hong Kong Island","Near Store Room No. 2",22.244895,114.153209,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau","Southern","Hong Kong Island","Near the Lamp Pole No. 9LP071",22.244895,114.153209,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau","Southern","Hong Kong Island","Inside Babycare Room",22.244895,114.153209,"Non-fountain type",1,"07:00","23:00",,"Hot / Cold","Indoor",
"Big Wave Bay Beach","Big Wave Bay Road, Shek O","Southern","Hong Kong Island","Near Men's Changing Room",22.246554,114.246739,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Big Wave Bay Beach","Big Wave Bay Road, Shek O","Southern","Hong Kong Island","Near the entrance of  Ladies' Changing Room",22.246554,114.246739,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Chung Hom Kok Beach","Chung Hom Kok Road, Chung Hom Kok","Southern","Hong Kong Island","Near Men's Toilet",22.218507,114.201673,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Chung Hom Kok Beach","Chung Hom Kok Road, Chung Hom Kok","Southern","Hong Kong Island","Near the entrance of Outdoor Shower Area",22.218507,114.201673,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Deep Water Bay Beach","Island Road, Southern District ","Southern","Hong Kong Island","Near Toilet Block at Eastern",22.244063,114.188191,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Deep Water Bay Beach","Island Road, Southern District ","Southern","Hong Kong Island","Near Toilet Block at Western",22.24549,114.186676,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hairpin Beach","Stanley Beach Road, Stanley","Southern","Hong Kong Island","Near Men's Toilet",22.224211,114.214775,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hairpin Beach","Stanley Beach Road, Stanley","Southern","Hong Kong Island","Near Ladies' Toilet",22.224211,114.214775,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hong Fu Playground","Wah Fu Road, Wah Fu Estate","Southern","Hong Kong Island","Next to the Toilet ",22.253754,114.135161,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Hung Shing Street Rest Garden","Hung Shing Street, Ap Lei Chau","Southern","Hong Kong Island","Near the Lamp Pole No. P16",22.244935,114.15619,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Hung Shing Street Rest Garden","Hung Shing Street, Ap Lei Chau","Southern","Hong Kong Island","Near the Lamp Pole No. P6",22.244935,114.15619,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Middle Bay Beach","55 South Bay Road, Repulse Bay","Southern","Hong Kong Island","Near Ladies' Changing Room",22.229552,114.198163,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Middle Bay Beach","55 South Bay Road, Repulse Bay","Southern","Hong Kong Island","Near Men's Changing Room",22.229464,114.198134,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Pao Yue Kong Swimming Pool","2 Shum Wan Road, Wong Chuk Hang","Southern","Hong Kong Island","Under spectator stand",22.245822,114.16577,"Fountain type",3,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Pao Yue Kong Swimming Pool","2 Shum Wan Road, Wong Chuk Hang","Southern","Hong Kong Island","Next to Secondary Pool",22.245819,114.165248,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Repulse Bay Beach","Beach Road, Repulse Bay, Hong Kong","Southern","Hong Kong Island","Near the entrance of the services building",22.237188,114.196691,"Fountain type",3,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Repulse Bay Beach","Beach Road, Repulse Bay, Hong Kong","Southern","Hong Kong Island","Near the toilet at eastern side of the beach",22.235885,114.197826,"Fountain type",3,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Shek O Beach","Shek O Road, Shek O","Southern","Hong Kong Island","Near Eastern Toilet Block",22.229267,114.251291,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Shek O Beach","Shek O Road, Shek O","Southern","Hong Kong Island","Near the entrance of Western Men's Changing Room",22.228316,114.250233,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Shek O Beach","Shek O Road, Shek O","Southern","Hong Kong Island","Near the entrance of Western Ladies' Changing Room",22.228316,114.250233,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"South Bay Beach","South Bay Beach, South Bay Road, Repulse Bay","Southern","Hong Kong Island","Near Ladies' Changing Room",22.224924,114.197941,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"South Bay Beach","South Bay Beach, South Bay Road, Repulse Bay","Southern","Hong Kong Island","Near Men's Changing Room",22.224868,114.197935,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"St. Stephen's Beach","Wong Ma Kok Path, Stanley","Southern","Hong Kong Island","At the entrance of Men's Changing Room",22.212812,114.214974,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"St. Stephen's Beach","Wong Ma Kok Path, Stanley","Southern","Hong Kong Island","At the entrance of Ladies' Changing Room",22.212812,114.214974,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"St. Stephen's Beach Water Sports Centre","Wong Ma Kok Path, Stanley, Hong Kong","Southern","Hong Kong Island","Adjacent to Equipment Collection Counter",22.211951,114.214667,"Fountain type",1,"08:30","17:00","Closed on every Tuesday","Ambient temperature","Indoor","For use by venue / facility hirers"
"Stanley Main Beach","Stanley Beach Road, Stanley","Southern","Hong Kong Island","At the entrance of Southern Men's Changing Room",22.221358,114.214129,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Stanley Main Beach","Stanley Beach Road, Stanley","Southern","Hong Kong Island","At the entrance of Southern Ladies' Changing Room",22.221358,114.214129,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Stanley Main Beach Water Sports Centre","1 Stanley Link Road, Stanley, Hong Kong","Southern","Hong Kong Island","Adjacent to First Aid Room",22.2203,114.214073,"Fountain type",1,"08:30","17:00","Closed on every Wednesday","Ambient temperature","Outdoor","For use by venue / facility hirers"
"Stanley Promenade","Stanley Main Street, Stanley","Southern","Hong Kong Island","Near Flower Bed Light No.1",22.218338,114.211519,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Stanley Promenade","Stanley Main Street, Stanley","Southern","Hong Kong Island","Near Flower Bed Light No.6",22.218338,114.211519,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Stanley Promenade","Stanley Main Street, Stanley","Southern","Hong Kong Island","Near Flower Bed Light No. 15",22.218338,114.211519,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Stanley Promenade","Stanley Main Street, Stanley","Southern","Hong Kong Island","Near Shui Sin Temple",22.218338,114.211519,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Stanley Sports Centre","UG/F, Stanley Municipal Building, 6 Stanley Market Road, Hong Kong.","Southern","Hong Kong Island","Next to Changing Rooms on the UG/F",22.219176,114.212281,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Stanley Sports Centre","UG/F, Stanley Municipal Building, 6 Stanley Market Road, Hong Kong.","Southern","Hong Kong Island","Next to Children's Play Room on the UG/F",22.219176,114.212281,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
